key_0,teamName,win_rank,mov_rank,dom_rank,ovr,ovr_rank
VT,Virginia Tech Hokies,69.0,63.0,76.0,69.33333333333333,67.0
BYU,BYU Cougars,67.0,71.0,71.0,69.66666666666667,68.5
PITT,Pittsburgh Panthers,66.0,65.0,78.0,69.66666666666667,68.5
MEM,Memphis Tigers,76.5,74.0,63.0,71.16666666666667,70.0
WAKE,Wake Forest Demon Deacons,74.5,66.0,81.0,73.83333333333333,71.0
ARK,Arkansas Razorbacks,87.0,82.0,54.0,74.33333333333333,72.0
SC,South Carolina Gamecocks,72.0,73.0,80.0,75.0,73.0
STAN,Stanford Cardinal,76.5,79.0,70.0,75.16666666666667,74.0
NEB,Nebraska Cornhuskers,78.5,77.0,72.0,75.83333333333333,75.0
MSU,Michigan State Spartans,72.0,80.0,82.0,78.0,76.0
MSST,Mississippi State Bulldogs,74.5,70.0,90.0,78.16666666666667,77.0
SJSU,San José State Spartans,64.5,69.0,102.0,78.5,78.0
UTSA,UTSA Roadrunners,69.0,76.0,92.0,79.0,79.0
UL,Louisiana Ragin' Cajuns,82.5,84.0,75.0,80.5,80.0
IU,Indiana Hoosiers,81.0,81.0,85.0,82.33333333333333,81.0
ILL,Illinois Fighting Illini,91.5,83.0,74.0,82.83333333333333,82.0
JVST,Jacksonville State Gamecocks,78.5,75.0,96.0,83.16666666666667,83.0
M-OH,Miami (OH) RedHawks,80.0,78.0,94.0,84.0,84.0
CCU,Coastal Carolina Chanticleers,91.5,88.0,73.0,84.16666666666667,85.0
NIU,Northern Illinois Huskies,86.0,90.0,79.0,85.0,86.0
OHIO,Ohio Bobcats,96.5,104.0,57.0,85.83333333333333,87.0
BAY,Baylor Bears,88.0,86.0,87.0,87.0,88.0
NMSU,New Mexico State Aggies,98.5,98.0,65.0,87.16666666666667,89.0
UNLV,UNLV Rebels,84.5,89.0,89.0,87.5,90.0
BOIS,Boise State Broncos,89.5,92.0,83.0,88.16666666666667,91.5
WKU,Western Kentucky Hilltoppers,89.5,91.0,84.0,88.16666666666667,91.5
NU,Northwestern Wildcats,84.5,85.0,100.0,89.83333333333333,93.0
SYR,Syracuse Orange,82.5,87.0,105.0,91.5,94.0
ULM,UL Monroe Warhawks,100.5,93.0,88.0,93.83333333333333,95.0
MRSH,Marshall Thundering Herd,93.0,95.0,97.0,95.0,96.0
ARST,Arkansas State Red Wolves,94.0,96.0,103.0,97.66666666666667,97.0
RICE,Rice Owls,102.0,102.0,91.0,98.33333333333333,98.0
CIN,Cincinnati Bearcats,100.5,100.0,95.0,98.5,99.0
BGSU,Bowling Green Falcons,95.0,99.0,104.0,99.33333333333333,100.0
MTSU,Middle Tennessee Blue Raiders,98.5,97.0,106.0,100.5,101.0
PUR,Purdue Boilermakers,96.5,94.0,112.0,100.83333333333333,102.0
CSU,Colorado State Rams,103.0,101.0,99.0,101.0,103.0
CMU,Central Michigan Chippewas,107.5,105.0,93.0,101.83333333333333,104.0
USF,South Florida Bulls,104.0,108.0,98.0,103.33333333333333,105.0
ARMY,Army Black Knights,112.5,114.0,86.0,104.16666666666667,106.0
SDSU,San Diego State Aztecs,109.0,107.0,107.0,107.66666666666667,107.0
USU,Utah State Aggies,105.0,103.0,118.0,108.66666666666667,108.0
SHSU,Sam Houston Bearkats,110.0,110.0,113.0,111.0,109.0
FAU,Florida Atlantic Owls,106.0,109.0,119.0,111.33333333333333,110.0
UTEP,UTEP Miners,111.0,112.0,114.0,112.33333333333333,111.0
VAN,Vanderbilt Commodores,107.5,106.0,125.0,112.83333333333333,112.0
ECU,East Carolina Pirates,120.0,111.0,108.0,113.0,113.0
USM,Southern Miss Golden Eagles,114.0,115.0,115.0,114.66666666666667,114.0
LT,Louisiana Tech Bulldogs,112.5,113.0,121.0,115.5,115.0
MASS,Massachusetts Minutemen,116.0,124.0,111.0,117.0,116.0
NAVY,Navy Midshipmen,127.5,123.0,101.0,117.16666666666667,117.0
BALL,Ball State Cardinals,118.0,117.0,120.0,118.33333333333333,118.5
CONN,UConn Huskies,115.0,116.0,124.0,118.33333333333333,118.5
NEV,Nevada Wolf Pack,129.0,121.0,109.0,119.66666666666667,120.5
HAW,Hawai'i Rainbow Warriors,118.0,118.0,123.0,119.66666666666667,120.5
FIU,Florida International Panthers,122.0,127.0,117.0,122.0,122.0
EMU,Eastern Michigan Eagles,126.0,128.0,116.0,123.33333333333333,123.5
WMU,Western Michigan Broncos,118.0,122.0,130.0,123.33333333333333,123.5
UAB,UAB Blazers,125.0,120.0,126.0,123.66666666666667,125.0
BUFF,Buffalo Bulls,121.0,119.0,132.0,124.0,126.5
AKR,Akron Zips,131.0,131.0,110.0,124.0,126.5
TLSA,Tulsa Golden Hurricane,124.0,125.0,127.0,125.33333333333333,128.0
UNT,North Texas Mean Green,123.0,126.0,129.0,126.0,129.0
CLT,Charlotte 49ers,132.0,130.0,122.0,128.0,130.0
TEM,Temple Owls,127.5,129.0,128.0,128.16666666666666,131.0
UNM,New Mexico Lobos,130.0,132.0,131.0,131.0,132.0
KENT,Kent State Golden Flashes,133.0,133.0,133.0,133.0,133.0
